ch,pot,site,imperv,int
10..00..00..00..,G,BIK,74.30458083,1
10..00..00..00..,G,BIK,74.30458083,1
10..00..00..00..,G,BIK,74.30458083,1
01..00..00..00..,G,BIK,74.30458083,1
01..00..00..00..,G,BIK,74.30458083,2
01..00..00..00..,G,BIK,74.30458083,1
01..00..01..00..,G,BIK,74.30458083,1
00..10..00..00..,G,BIK,74.30458083,1
00..10..00..00..,G,BIK,74.30458083,1
00..10..00..00..,G,BIK,74.30458083,2
00..11..00..00..,G,BIK,74.30458083,1
00..10..00..00..,G,BIK,74.30458083,1
00..00..10..00..,N,BIK,74.30458083,1
00..00..00..10..,N,BIK,74.30458083,1
00..00..00..11..,N,BIK,74.30458083,2
00..00..00..10..,G,BIK,74.30458083,
00..00..00..01..,G,BIK,74.30458083,
..10..00..00..00,N,LIN,54.99569474,
..10..11..00..00,N,LIN,54.99569474,
..01..00..00..00,N,LIN,54.99569474,
..01..00..00..00,N,LIN,54.99569474,
..00..00..10..00,G,LIN,54.99569474,
..00..00..10..01,N,LIN,54.99569474,
..00..00..01..00,N,LIN,54.99569474,
..00..00..00..10,G,LIN,54.99569474,
..10..10..00..00,G,MCM,60.79926006,
..01..00..00..00,N,MCM,60.79926006,
..10..00..00..00,G,MCM,60.79926006,
..11..11..00..10,N,MCM,60.79926006,
..00..00..00..10,G,MCM,60.79926006,
..10..11..01..00,N,MCM,60.79926006,
..10..00..00..00,N,MCM,60.79926006,
..01..00..00..00,N,MCM,60.79926006,
..01..00..00..00,G,MCM,60.79926006,
..00..11..00..00,N,MCM,60.79926006,
..00..10..10..00,N,MCM,60.79926006,
..00..10..00..00,N,MCM,60.79926006,
..00..10..00..00,G,MCM,60.79926006,
..00..01..00..00,N,MCM,60.79926006,
..00..01..00..00,G,MCM,60.79926006,
..00..01..00..10,G,MCM,60.79926006,
..00..00..10..00,G,MCM,60.79926006,
..00..00..10..00,G,MCM,60.79926006,
..00..00..00..10,N,MCM,60.79926006,
10..00..00..01..,G,POW,48.74737043,
00..11..00..10..,N,POW,48.74737043,
10..00..00..00..,G,POW,48.74737043,
10..00..00..00..,G,POW,48.74737043,
00..11..10..00..,G,POW,48.74737043,
00..10..00..00..,G,POW,48.74737043,
00..01..00..00..,N,POW,48.74737043,
00..11..00..11..,N,POW,48.74737043,
00..11..11..11..,N,POW,48.74737043,
00..10..00..00..,G,POW,48.74737043,
00..01..00..00..,N,POW,48.74737043,
00..01..11..00..,N,POW,48.74737043,
00..00..00..10..,G,POW,48.74737043,
00..01..01..00..,N,POW,48.74737043,
00..01..00..00..,N,POW,48.74737043,
00..01..00..00..,N,POW,48.74737043,
00..01..00..00..,G,POW,48.74737043,
00..01..00..00..,G,POW,48.74737043,
00..01..00..01..,G,POW,48.74737043,
00..01..00..00..,G,POW,48.74737043,
00..01..00..01..,G,POW,48.74737043,
00..00..10..10..,N,POW,48.74737043,
00..00..10..00..,G,POW,48.74737043,
00..00..10..00..,G,POW,48.74737043,
00..00..10..00..,G,POW,48.74737043,
00..00..10..00..,N,POW,48.74737043,
00..00..01..00..,N,POW,48.74737043,
00..00..01..00..,N,POW,48.74737043,
00..00..01..00..,G,POW,48.74737043,
00..00..01..10..,N,POW,48.74737043,
00..00..00..10..,G,POW,48.74737043,
00..00..00..11..,N,POW,48.74737043,
00..00..00..11..,G,POW,48.74737043,
00..00..00..10..,G,POW,48.74737043,
00..00..00..10..,N,POW,48.74737043,
00..00..00..01..,G,POW,48.74737043,
..11..11..11..11,G,SAC,39.13071208,
..11..00..00..00,G,SAC,39.13071208,
..10..00..00..00,N,SAC,39.13071208,
..10..01..10..00,N,SAC,39.13071208,
..10..00..00..00,N,SAC,39.13071208,
..10..00..00..00,N,SAC,39.13071208,
..10..00..00..00,N,SAC,39.13071208,
..01..00..00..01,G,SAC,39.13071208,
..00..10..00..00,G,SAC,39.13071208,
..00..10..00..00,G,SAC,39.13071208,
..00..10..00..00,G,SAC,39.13071208,
..00..11..00..10,G,SAC,39.13071208,
..00..10..10..00,G,SAC,39.13071208,
..00..10..00..00,G,SAC,39.13071208,
..00..10..00..00,G,SAC,39.13071208,
..00..10..00..00,N,SAC,39.13071208,
..00..11..11..00,N,SAC,39.13071208,
..00..10..00..00,N,SAC,39.13071208,
..00..01..00..00,G,SAC,39.13071208,
..00..01..00..00,G,SAC,39.13071208,
..00..00..10..00,N,SAC,39.13071208,
..00..00..10..00,N,SAC,39.13071208,
..00..00..10..00,N,SAC,39.13071208,
..00..00..10..00,N,SAC,39.13071208,
..00..00..10..00,N,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..10..00,G,SAC,39.13071208,
..00..00..00..10,G,SAC,39.13071208,
..00..00..00..10,G,SAC,39.13071208,
..00..00..00..11,G,SAC,39.13071208,
..00..00..00..10,N,SAC,39.13071208,
..00..00..00..01,G,SAC,39.13071208,
10..00..00..00..,N,TUF,44.47775474,
00..10..00..00..,G,TUF,44.47775474,
10..00..00..00..,N,TUF,44.47775474,
10..00..00..00..,N,TUF,44.47775474,
01..11..00..00..,N,TUF,44.47775474,
01..10..10..00..,N,TUF,44.47775474,
01..00..00..00..,N,TUF,44.47775474,
01..10..00..00..,G,TUF,44.47775474,
00..10..00..00..,N,TUF,44.47775474,
00..10..00..00..,G,TUF,44.47775474,
00..10..00..00..,G,TUF,44.47775474,
00..10..01..01..,G,TUF,44.47775474,
00..01..00..00..,N,TUF,44.47775474,
00..01..10..00..,G,TUF,44.47775474,
00..00..10..00..,G,TUF,44.47775474,
00..00..10..10..,N,TUF,44.47775474,
00..00..00..10..,N,TUF,44.47775474,
00..00..00..10..,N,TUF,44.47775474,
00..00..00..10..,N,TUF,44.47775474,
00..00..00..01..,N,TUF,44.47775474,
00..00..00..01..,N,TUF,44.47775474,
00..00..00..01..,G,TUF,44.47775474,
..11..01..01..01,N,WAL,93.01502249,
..01..10..00..00,N,WAL,93.01502249,
..01..00..00..00,N,WAL,93.01502249,
..01..01..11..10,N,WAL,93.01502249,
..01..00..00..00,G,WAL,93.01502249,
..00..01..00..00,N,WAL,93.01502249,
..00..01..01..00,N,WAL,93.01502249,
..00..00..10..00,N,WAL,93.01502249,
..00..00..01..00,G,WAL,93.01502249,
..00..00..01..00,N,WAL,93.01502249,
